"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Array Page","User validate PracticeQuestion Array Page","0","4","0","0","0"
"","","","0","14","20","0","0"
"","Queue","User click on Try Here button and enter valid and invalid python code in tryEditor for Queue","0","4","0","0","0"
"","Data Structure Intro","User entered valid login details on Login Page and logged in","0","0","1","0","0"
"","Graph","User click on Try Here button and enter valid and invalid python code in tryEditor for Graph","0","2","0","0","0"
"","Array Page","User validate ArrayPage","0","3","1","0","0"
"","Linked List","User click on Try Here button and enter valid and invalid python code in tryEditor for LinkedList","0","7","0","0","0"
"","Tree","User click on Try Here button and enter valid and invalid python code in tryEditor for Tree","0","13","0","0","0"
"","Array Page","PracticeQuestion Page","0","1","0","0","0"
"","Graph","User navigate back to selected Graph Topic Page and try Practice Question Page","0","1","0","0","0"
"","Register Page validation","The user opens Register Page and entered valid user Details","0","0","1","0","0"
"","Register Page validation","The user is on Register Page and entered invalid user Details","0","0","4","0","0"
"","Register Page validation","User click on register button with Password field blank","0","0","1","0","0"
"","Stack","User click on Try Here button and enter valid and invalid python code in tryEditor for Stack","0","3","0","0","0"
"","Register Page validation","User click register button on Home page","0","0","1","0","0"
"","Data Structure Intro","User enter valid and invalid python code in tryEditor","0","0","2","0","0"
"","SignIn","User entered invalid login details on Login Page","0","0","2","0","0"
"","GetStart Page","User launch Start page of an dsalgo project","0","0","1","0","0"
"","Stack","User navigate back to selected Stack Topic Page and try Practice Question Page","0","1","0","0","0"
"","Queue","User navigate back to selected Queue Topic Page and try Practice Question Page","0","1","0","0","0"
"","Linked List","User navigate back to selected LinkedList Topic Page and try Practice Question Page","0","1","0","0","0"
"","Register Page validation","User click register button with all fields blank","0","0","1","0","0"
"","Data Structure Intro","User navigate to Data Structure Page for selected Topic and click on Try Here button","0","0","1","0","0"
"","Tree","User navigate to Tree Page for selected Topic  and click on Try Here button","0","1","0","0","0"
"","Register Page validation","User click on register button with valid Username & Password and confirm Password field as blank","0","0","1","0","0"
"","Linked List","User navigate to Linked List Page for selected Topic","0","1","0","0","0"
"","Tree","User navigate back to selected Tree Topic Page and try Practice Question Page","0","1","0","0","0"
"","Register Page validation","User logout from application after registration","0","0","1","0","0"
"","Home Page","User is on Home page and click getstarted link/dropbox on  home page without sign in","0","0","1","0","0"
"","Array Page","User validate dropbox","0","0","1","0","0"
"","Stack","User navigate to Stack Page for selected Topic","0","1","0","0","0"
"","Graph","User navigate to Graph Page for selected Topic and click on Try Here button","0","1","0","0","0"
"","Queue","User navigate to Queue Page for selected Topic and click on Try Here button","0","1","0","0","0"
"","SignIn","User entered valid login details on Login Page","0","0","1","0","0"
"","Data Structure Intro","User navigate to Data Structure from dropdown and try Practice Question Page","0","0","1","0","0"
